,,Analysis - Requirements,Project,1,BA
,,Bill of Lading Milestones,Project,1,FC
,,Notifications Templates,Project,1,FC
,,Update Master Data,Project,0.5,FC
,,Web Tracker Visibility,Project,0.5,FC
,,Include Doc pack,Project,0.5,FC
,,Task Creation (10 Tasks),Project,3,FC
,,Triggers (Upto 5),Project,1,FC
,Milestones Setups,,Solution,46,
,,Project Management,Project,4,PM
,,Order received from customer,Project,3,FC
,,Ops Arrange Forwarding,Project,3,FC
,,Pre Alert from Origin Agent,Project,3,FC
,,Split Pre Alert documents,Project,3,FC
,,Receive Clearing Instruction,Project,3,FC
,,Retrieve Arrival Notice,Project,3,FC
,,Cargo Dues Booking,Project,3,FC
,,Customs Clearance,Project,3,FC
,,Warehouse Leg,Project,3,FC
,,Transport Leg,Project,3,FC
,,Retrieve Invoice from Shipping Line,Project,3,FC
,,Send Release Pack to Shipping Lines. Navis Updated.,Project,3,FC
,,Create/Send Transport Documents to Transport Department,Project,3,FC
,,Exceptions,Project,3,FC
Finance,,,Product,103.5,
,Migration of Data,,Solution,5,
,,Analysis - System & Controls,Project,2,FC
,,Trial Balance,Project,1,FC
,,AR/ AP Opening Balance,Project,1,FC
,,Opening Cheques AR / AP,Project,1,FC
,Implementation,,Solution,24,
,,Project Managament,Project,2,PM
,,Analysis - Functional,Project,2,BA
,,Registry Setup,Project,1,FA
,,Global Charge Codes (Multi / Group Company),Project,2,FC
,,CW One Standard Charge codes,Project,2,FC
,,CW One GL Setup,Project,2,FA
,,Legacy Charge codes,Project,2,FC
,,Legacy GL,Project,2,FC
,,Document Review,Project,2,FC
,,Geo-Compliance,Project,4,FC
,,Creation of Tax Override Groups & Rules,Project,1,FC
,,Budget,Project,2,FC
,Country Taxation,,Solution,5,
,,TDS For India,Project,5,FC
,Training,,Solution,14,
,,Account Receivables,Project,3,FC
,,Account Payables,Project,3,FC
,,Cash Book,Project,3,FC
,,General Ledger,Project,3,FC
,,Job Costing / Management,Project,1,FC
,,Organization master/Credit control,Project,1,FC
,Automations,,Solution,55.5,
,,Project Management,Project,6,PM
,,Analysis - Requirements,Project,1,BA
,,Global Credit Control,Project,3.5,FC
,,CASS Hot Files,Project,3,FC
,,Vendor Payments (1 Branch),Project,4,FC
,,Approvals / Validation Matrices,Project,5,FC
,,Currency Revaluation,Project,2,FC
,,Cash Flow Statement,Project,7,FC
,,Auto Reconcile,Project,2,FC
,,Profit Sharing (1 Partner),Project,3,FC
,,Multi Currency Setup,Project,12,FA
,,Discovery Session,Project,1,BA
,,Business Process Requirement,Project,1,BA
,,Design Process Flow,Project,0,FA
,,Design Sign Off From Business Process Team,Project,1,BA
,,CW1 Test System Setup / Configuration,Project,2,FA
,,Design Training Document,Project,0,FA
,,UAT Testing,Project,1,FC
,,Migration of Design Data From Test to Production System,Project,0,FA
,,Go-Live,Project,1,FC
Rate Management,,,Product,40,
,Implementation,,Solution,10,
,,Analysis - System & Controls,Project,2,BA
,,Registry Setup,Project,4,FA
,,Charge Code Mapping Cargo Sphere,Project,2,FA
,,Charge Code Mapping Cargo Guide,Project,2,FA
,Training,,Solution,13,
,,Cargo Sphere (1 Contract),Project,4,FA
,,Cargo Guide (1 Contract),Project,2,FA
,,Company Tariff,Project,1,FA
,,Costing,Project,1,FA
,,Client Rate,Project,1,FC
,,Quotation,Project,1,FC
,,One Off Quote,Project,1,FC
,,Rate Calculator,Project,2,FC
,Automations,,Solution,17,
,,Project Management,Project,2,
,,Analysis - Requirements,Project,4,
,,Auto Rating / Costing (1 customer),Project,5,
,,Cargo Guide,Project,6,
WareHousing,,,Product,106.5,
,Transit WareHouse,,Solution,57.5,
,,Project Management,Project,5,PM
,,Analysis - Functional,Project,15,BA
,,WareHouse Setup,Project,2,FA
,,Location Setup,Project,3,FA
,,RF Scanner Setup,Project,2,FA
,,Customers Setup (3 Customer Samples),Project,3,FA
,,Billing Setup (3 Customer Sample),Project,3,FA
,,Workflow Setup,Project,6,FA
,,Desktop Training,Project,5,FA
,,Mobile Device Training,Project,5,FC
,,Forwarding + Transit Warehouse Communications Training,Project,6.5,FC
,,Inventory Overview,Project,2,FC
,Production WareHouse,,Solution,49,
,,Project Management,Project,4,PM
,,Analysis - Functional,Project,15,BA
,,WareHouse Setup,Project,2,FA
,,Customers Setup (3 Customer Samples),Project,3,FA
,,Location Setup (1 Type Warehouse),Project,3,FA
,,Area Setup,Project,3,FA
,,Product / SKU Training(Upto 1000 products / SKU),Project,2,FC
,,RF Scanner Setup (1 Unit),Project,2,FA
,,Basic Workflow Setup,Project,2,FA
,,Billing Setup (3 Customer Sample),Project,3,FA
,,WareHousing Desktop Training,Project,6,FC
,,RF Scanning Training (not included scanner procurement ),Project,2,FC
,,Inventory Migration - Customer Provided with CW Adjustments (upto 1000 products),Project,2,FC
Customs Clearance,,,Product,75,
,Port Messaging,,Solution,26,
,,Project Management,Project,2,PM
,,AES - USA,Project,8,FC
,,Canada Customs eManifest,Project,8,FC
,,G7-Export,Project,8,FC
,Import Declaration,,Solution,26.5,
,,Project Management,Project,2,PM
,,Analysis - Functional,Project,1,BA
,,Security Setup,Project,1,FA
,,Registry Setup (1 Customs Handling System),Project,2,FA
,,Organization Setup,Project,2,FA
,,Organization Proxy,Project,1,FC
,,Training for declarations and Various Customs Filling (1 Branch),Project,14.5,FC
,,LOI,Project,1,FC
,,Training For ISF (1 Branch),Project,2,FC
,Export Declaration,,Solution,10.5,
,,Analysis - Functional,Project,1,BA
,,Security Setup,Project,1,FA
,,Registry setup,Project,0.5,FA
,,LOI,Project,0.5,FC
,,Organization Setup,Project,1,FA
,,Organization Proxy Setup,Project,0.5,FA
,,Training (1 Branch),Project,6,FC
,GB Customs (Migrating),,Solution,12,
,,Analysis - Requirements,Project,1,BA
,,Through CDS Production / Test (trader dress rehearsal,Project,4,FC
,,Setup Connection EDI Messaging (Training and Production),Project,2,FC
,,Test system configuration,Project,0,FA
,,Testing in Test Enviornment For Only 'Sucessfully' response of Customs,Project,0,FA
,,Testing In Test Enviornment for 'Sucessfully with Acceptance' response of Customs*,Project,1,FC
,,Production - System Configuation,Project,0,FA
,,Production - For Only 'Sucessfully' response of Customs,Project,1,FC
,,Production - For 'Sucessfully with Acceptance' response of Customs*,Project,3,FC
,,Project Documentation (Configuration and Training Manual),Project,0,FA
Sales & Marketing,,,Product,11.5,
,Implementation,,Solution,2,
,,Analysis - Functional,Project,1,BA
,,Registry Setup,Project,1,FA
,Sales Modules Training,,Solution,8,
